-2.000000e+001 -2.000000e+001 -7.353323e-011 5.148482e-011 
-1.900000e+001 -2.000000e+001 -7.704232e-011 5.104981e-011 
-1.800000e+001 -2.000000e+001 -7.963937e-011 4.973575e-011 
-1.700000e+001 -2.000000e+001 -8.124906e-011 4.759728e-011 
-1.600000e+001 -2.000000e+001 -8.182778e-011 4.472123e-011 
-1.500000e+001 -2.000000e+001 -8.136997e-011 4.122415e-011 
-1.400000e+001 -2.000000e+001 -7.991346e-011 3.724742e-011 
-1.300000e+001 -2.000000e+001 -7.754286e-011 3.295003e-011 
-1.200000e+001 -2.000000e+001 -7.439069e-011 2.849905e-011 
-1.100000e+001 -2.000000e+001 -7.063563e-011 2.405852e-011 
-1.000000e+001 -2.000000e+001 -6.649762e-011 1.977720e-011 
-9.000000e+000 -2.000000e+001 -6.222981e-011 1.577640e-011 
-8.000000e+000 -2.000000e+001 -5.810747e-011 1.213873e-011 
-7.000000e+000 -2.000000e+001 -5.441428e-011 8.899087e-012 
-6.000000e+000 -2.000000e+001 -5.142670e-011 6.038801e-012 
-5.000000e+000 -2.000000e+001 -4.939688e-011 3.483891e-012 
-4.000000e+000 -2.000000e+001 -4.853487e-011 1.108189e-012 
-3.000000e+000 -2.000000e+001 -4.899099e-011 -1.258206e-012 
-2.000000e+000 -2.000000e+001 -5.083895e-011 -3.814874e-012 
-1.000000e+000 -2.000000e+001 -5.406129e-011 -6.771569e-012 
0.000000e+000 -2.000000e+001 -5.853861e-011 -1.032397e-011 
1.000000e+000 -2.000000e+001 -6.404497e-011 -1.462631e-011 
2.000000e+000 -2.000000e+001 -7.025167e-011 -1.976343e-011 
3.000000e+000 -2.000000e+001 -7.674156e-011 -2.572608e-011 
4.000000e+000 -2.000000e+001 -8.303442e-011 -3.239358e-011 
5.000000e+000 -2.000000e+001 -8.862258e-011 -3.952809e-011 
6.000000e+000 -2.000000e+001 -9.301332e-011 -4.678322e-011 
7.000000e+000 -2.000000e+001 -9.577317e-011 -5.372778e-011 
8.000000e+000 -2.000000e+001 -9.656812e-011 -5.988258e-011 
9.000000e+000 -2.000000e+001 -9.519400e-011 -6.476589e-011 
1.000000e+001 -2.000000e+001 -9.159315e-011 -6.794123e-011 
1.100000e+001 -2.000000e+001 -8.585543e-011 -6.906095e-011 
1.200000e+001 -2.000000e+001 -7.820445e-011 -6.789992e-011 
1.300000e+001 -2.000000e+001 -6.897190e-011 -6.437543e-011 
1.400000e+001 -2.000000e+001 -5.856432e-011 -5.855196e-011 
1.500000e+001 -2.000000e+001 -4.742688e-011 -5.063155e-011 
1.600000e+001 -2.000000e+001 -3.600860e-011 -4.093257e-011 
1.700000e+001 -2.000000e+001 -2.473229e-011 -2.986060e-011 
1.800000e+001 -2.000000e+001 -1.397123e-011 -1.787538e-011 
1.900000e+001 -2.000000e+001 -4.033553e-012 -5.457632e-012 
2.000000e+001 -2.000000e+001 4.845913e-012 6.921179e-012 
-2.000000e+001 -1.900000e+001 -7.414260e-011 5.479631e-011 
-1.900000e+001 -1.900000e+001 -7.624197e-011 5.338137e-011 
-1.800000e+001 -1.900000e+001 -7.719409e-011 5.099666e-011 
-1.700000e+001 -1.900000e+001 -7.692378e-011 4.772867e-011 
-1.600000e+001 -1.900000e+001 -7.539568e-011 4.370354e-011 
-1.500000e+001 -1.900000e+001 -7.262182e-011 3.908358e-011 
-1.400000e+001 -1.900000e+001 -6.866769e-011 3.406068e-011 
-1.300000e+001 -1.900000e+001 -6.365594e-011 2.884670e-011 
-1.200000e+001 -1.900000e+001 -5.776705e-011 2.366103e-011 
-1.100000e+001 -1.900000e+001 -5.123649e-011 1.871608e-011 
-1.000000e+001 -1.900000e+001 -4.434813e-011 1.420158e-011 
-9.000000e+000 -1.900000e+001 -3.742397e-011 1.026911e-011 
-8.000000e+000 -1.900000e+001 -3.081086e-011 7.017995e-012 
-7.000000e+000 -1.900000e+001 -2.486469e-011 4.484136e-012 
-6.000000e+000 -1.900000e+001 -1.993326e-011 2.632628e-012 
-5.000000e+000 -1.900000e+001 -1.633816e-011 1.355193e-012 
-4.000000e+000 -1.900000e+001 -1.435647e-011 4.729227e-013 
-3.000000e+000 -1.900000e+001 -1.420201e-011 -2.551639e-013 
-2.000000e+000 -1.900000e+001 -1.600660e-011 -1.117305e-012 
-1.000000e+000 -1.900000e+001 -1.980138e-011 -2.427497e-012 
0.000000e+000 -1.900000e+001 -2.549992e-011 -4.497212e-012 
1.000000e+000 -1.900000e+001 -3.288552e-011 -7.601121e-012 
2.000000e+000 -1.900000e+001 -4.160673e-011 -1.193914e-011 
3.000000e+000 -1.900000e+001 -5.118516e-011 -1.759905e-011 
4.000000e+000 -1.900000e+001 -6.103857e-011 -2.452571e-011 
5.000000e+000 -1.900000e+001 -7.052014e-011 -3.250351e-011 
6.000000e+000 -1.900000e+001 -7.897071e-011 -4.115774e-011 
7.000000e+000 -1.900000e+001 -8.577796e-011 -4.997768e-011 
8.000000e+000 -1.900000e+001 -9.043392e-011 -5.836022e-011 
9.000000e+000 -1.900000e+001 -9.258205e-011 -6.566853e-011 
1.000000e+001 -1.900000e+001 -9.204694e-011 -7.129728e-011 
1.100000e+001 -1.900000e+001 -8.884296e-011 -7.473462e-011 
1.200000e+001 -1.900000e+001 -8.316218e-011 -7.561230e-011 
1.300000e+001 -1.900000e+001 -7.534499e-011 -7.373763e-011 
1.400000e+001 -1.900000e+001 -6.583924e-011 -6.910489e-011 
1.500000e+001 -1.900000e+001 -5.515451e-011 -6.188688e-011 
